FILEDS PRESENT IN TABLES,TABLE NAME,DESCRIPTION
date_time_of_rgs,events,
description,events,
district,events,
duration_of_operation_days,events,
duration_of_operation_night,events,
enemy_commander,events,
enemy_strength_range,events,
event_datetime,events,
event_id,events,
event_irla_number,events,
eventplace,events,
eventrelatedto,events,
eventsubtype,events,
eventtype,events,
grade,events,
handler_irla_no,events,
if_rgs_informed_crd,events,
incident_end_time,events,
incident_start_time,events,
informationsource,events,
infotype,events,
input_shared,events,
ir_id,events,
is_approved,events,
k9_asst_handler_f_name,events,
k9_asst_handler_f_no,events,
k9_handler_f_name,events,
k9_handler_f_no,events,
k9_id,events,
k9_name,events,
latitude,events,
longitude,events,
numberoftroops,events,
ops_plan_id,events,
org_sub_zone,events,
organization,events,
othertypeofduty,events,
party_id,events,
police_station,events,
priority,events,
ready_to_approve,events,
ready_to_approve_date,events,
remarks,events,
reporttype,events,
rgs_force_number,events,
rgs_name,events,
rgs_rank,events,
sister_agency,events,
sno,events,
sourceid,events,
state,events,
subject,events,
theatre,events,
typeofduty,events,
typeofincident,events,
typeofinput,events,
updated_at,events,
updated_by,events,
viewed,events,
whether_event_based_on_any_opsplan,events,
created_at,events_remarks,
created_by,events_remarks,
event_id,events_remarks,
remarks,events_remarks,
updated_at,events_remarks,
updateed_by,events_remarks,
create_at,events_shared,
created_by,events_shared,
event_id,events_shared,
remarks,events_shared,
unitcode,events_shared,
updated_at,events_shared,
updated_by,events_shared,
username,events_shared,
address1,eventvictim,
address2,eventvictim,
compensationpaid,eventvictim,
contact,eventvictim,
country,eventvictim,
created_at,eventvictim,
createdby,eventvictim,
details,eventvictim,
district,eventvictim,
dob,eventvictim,
event_id,eventvictim,
fathername,eventvictim,
gender,eventvictim,
is_dead_body_disposed,eventvictim,
is_medical_aid_provided,eventvictim,
isdeadorinjured,eventvictim,
maritalstatus,eventvictim,
name,eventvictim,
nationality,eventvictim,
nickname,eventvictim,
occupation,eventvictim,
reason,eventvictim,
religion,eventvictim,
remarks,eventvictim,
sno,eventvictim,
state,eventvictim,
updated_at,eventvictim,
updatedby,eventvictim,
victim_doj,eventvictim,
